id_utilisateur,age,sexe,langue,anciennete_mois,nb_interventions_totales,taux_annulation,type_abonnement,depense_totale_estimee,score_satisfaction,target_service,est_abonne
1,70,F,en,10,5,0.25,Basic,73.86,4.5,Sport Senior,1
2,67,F,fr,3,1,0.06,None,39.58,4.9,Sport Senior,0
3,71,H,fr,64,5,0.13,Standard,198.43,4.9,Informatique,1
4,75,H,fr,8,7,0.2,Standard,214.22,4.9,Informatique,1
5,66,F,it,6,3,0.11,Premium,701.05,4.4,Club Voyage,1
6,66,F,es,23,2,0.23,Standard,269.37,3.6,Club Voyage,1
7,75,F,fr,21,1,0.15,Basic,55.41,4.9,Yoga,1
8,71,H,fr,4,5,0.09,Standard,255.26,4.2,Informatique,1
9,65,F,fr,23,2,0.17,Standard,337.81,3.6,Club Voyage,1
10,70,F,fr,4,2,0.3,Premium,463.66,3.0,Club Voyage,1
11,65,F,fr,1,3,0.04,Basic,54.96,4.7,Yoga,1
12,65,H,fr,1,5,0.13,Basic,86.35,4.9,Sport Senior,1
13,69,H,fr,9,2,0.01,Basic,65.07,5.0,Sport Senior,1
14,60,H,fr,5,2,0.09,Standard,295.3,5.0,Club Voyage,1
15,60,H,fr,18,2,0.04,Basic,61.05,5.0,Sport Senior,1
16,65,H,fr,10,3,0.1,None,45.46,5.0,Sport Senior,0
17,62,H,fr,19,4,0.06,Basic,83.32,4.6,Sport Senior,1
18,69,F,fr,14,2,0.31,Basic,50.8,4.7,Sport Senior,1
19,63,H,de,51,2,0.24,Premium,521.0,4.6,Club Voyage,1
20,60,H,en,8,2,0.15,Standard,256.24,5.0,Club Voyage,1
21,75,F,de,5,4,0.15,Basic,134.7,4.6,Jardinage,1
22,66,F,fr,3,2,0.11,Premium,400.73,5.0,Club Voyage,1
23,68,F,es,13,5,0.39,Standard,175.09,4.4,Informatique,1
24,60,H,fr,10,3,0.2,Basic,80.77,4.3,Sport Senior,1
25,65,H,it,15,9,0.24,Basic,142.48,4.0,Sport Senior,1
26,68,H,fr,19,3,0.08,Standard,173.62,4.0,Informatique,1
27,62,H,es,13,6,0.08,Basic,99.51,5.0,Sport Senior,1
28,69,F,fr,21,2,0.33,Standard,361.59,3.4,Club Voyage,1
29,64,F,fr,3,4,0.11,Basic,135.63,4.0,Yoga,1
30,66,F,es,28,3,0.14,Basic,100.16,4.2,Yoga,1
31,64,F,fr,4,1,0.15,Standard,155.51,4.7,Club Voyage,1
32,77,H,fr,5,2,0.21,Basic,124.63,5.0,Informatique,1
33,67,F,fr,2,4,0.12,Basic,102.25,5.0,Sport Senior,1
34,62,F,es,3,5,0.18,Basic,107.78,4.4,Sport Senior,1
35,72,F,fr,15,5,0.05,Basic,145.78,4.8,Aide à domicile,1
36,61,F,fr,2,2,0.24,Basic,133.42,4.0,Informatique,1
37,69,F,fr,53,1,0.3,Standard,290.33,4.2,Club Voyage,1
38,60,F,en,35,4,0.66,Standard,241.7,2.3,Informatique,1
39,61,F,fr,1,6,0.17,Standard,177.11,4.1,Yoga,1
40,68,F,fr,19,1,0.58,Basic,140.95,2.5,Club Voyage,1
41,71,F,en,6,7,0.05,Standard,173.45,4.6,Aide à domicile,1
42,68,H,fr,20,4,0.13,Basic,75.71,4.4,Sport Senior,1
43,67,F,fr,1,10,0.13,Standard,185.14,4.5,Sport Senior,1
44,66,F,en,12,5,0.06,Basic,115.67,4.8,Sport Senior,1
45,60,F,it,16,1,0.2,Standard,218.4,5.0,Club Voyage,1
46,64,H,fr,23,2,0.53,Basic,53.49,2.4,Sport Senior,1
47,65,F,fr,27,2,0.24,Basic,128.39,3.8,Informatique,1
48,73,H,fr,1,5,0.24,Standard,296.03,4.2,Informatique,1
49,69,F,en,17,3,0.11,Standard,224.6,5.0,Club Voyage,1
50,60,F,fr,2,2,0.13,Basic,124.68,4.0,Informatique,1
51,69,F,fr,10,2,0.23,Standard,318.2,3.9,Club Voyage,1
52,66,F,de,6,4,0.41,Basic,98.12,3.9,Sport Senior,1
53,64,H,fr,4,2,0.07,Premium,441.88,5.0,Club Voyage,1
54,71,F,en,5,3,0.24,Basic,74.95,3.4,Yoga,1
55,73,H,fr,4,6,0.13,Standard,237.53,4.5,Jardinage,1
56,72,H,fr,4,4,0.24,Basic,144.98,4.0,Aide à domicile,1
57,63,F,fr,13,1,0.28,Basic,59.36,3.7,Informatique,1
58,66,H,fr,6,5,0.27,Standard,278.78,3.4,Informatique,1
59,69,H,fr,27,4,0.24,Standard,165.76,4.5,Informatique,1
60,72,F,fr,10,5,0.1,Standard,208.44,4.7,Informatique,1
61,65,F,es,9,2,0.31,None,47.93,3.6,Sport Senior,0
62,67,F,fr,31,7,0.12,Standard,252.96,4.1,Informatique,1
63,62,F,fr,26,8,0.27,Standard,187.92,3.7,Yoga,1
64,62,F,fr,1,4,0.04,Premium,725.24,5.0,Club Voyage,1
